# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
WT176	-0.890000	1.048000
WT188	-0.100000	0.100000
WT190	-0.100000	1.961000
WT196	-0.737000	1.153000
WT192	-0.100000	0.100000
WT178	-0.589000	0.937000
WT68	-0.100000	2.021000
WT34	-0.925000	1.836000
WT48	-0.882000	0.987000
WT14	-0.100000	0.100000
WT22	-1.098000	0.100000
WT30	-0.100000	0.100000
WT32	-1.017000	0.746000
WT36	-0.100000	0.755000
WT12	-0.100000	0.100000
WT26	-0.100000	0.100000
WT9	-0.100000	0.677000
WT20	-0.100000	0.100000
WT8	-0.100000	1.077000
WT24	-0.100000	1.083000
WT16	-0.100000	1.068000
WT4	-0.722000	1.300000
WT28	-0.656000	0.324000
WT38	-0.100000	0.100000
WT42	-0.100000	0.100000
WT44	-0.100000	0.100000
WT40	-0.991000	1.881000
WT112	-0.100000	1.826000
WT120	-0.100000	0.100000
WT152	-0.100000	0.100000
WT158	-0.100000	0.100000
WT160	-0.100000	0.100000
WT182	-0.100000	1.942000
WT184	-0.100000	0.100000
WT186	-1.006000	1.057000
WT200	-0.100000	1.033000
