EnsGeneID	Symbol	PseudoTimePval	DE_Pval	qval	UB	CM	PV
ENSG00000163435	ELF3	0.062345356	0	0	6.459066279	0.09506772	0.079852397
ENSG00000204103	MAFB	0	0	0	0.269103335	0.083503276	24.27154134
ENSG00000118526	TCF21	0	6.87E-271	0	0.289488148	1.351972368	13.83416333
ENSG00000184937	WT1	0	5.13E-262	0	0.13268445	0.579685747	12.52279507
ENSG00000107485	GATA3	0.386601497	1.29E-261	1.54E-258	4.404971087	0.033123451	0.07172622
ENSG00000170370	EMX2	0.502291663	3.11E-208	3.70E-205	4.666162838	0.175569887	0.298189036
ENSG00000114315	HES1	4.39E-15	1.77E-199	2.10E-196	12.41531508	2.721167385	3.165205016
ENSG00000162772	ATF3	8.17E-08	1.23E-192	1.47E-189	5.23826769	0.330802425	0.51798756
ENSG00000152518	ZFP36L2	9.02E-172	0.002966917	1.07E-168	2.513301091	0.147935365	3.917747013
ENSG00000172201	ID4	1.24E-159	3.14E-10	1.47E-156	4.424183298	0.513596187	5.597565355
ENSG00000067082	KLF6	0.001190388	3.71E-159	4.41E-156	5.10338144	0.491134074	0.618524626
ENSG00000189403	HMGB1	1.64E-152	7.47E-09	1.95E-149	18.88224496	30.4256861	15.11662828
ENSG00000176692	FOXC2	2.23E-123	2.34E-95	2.65E-120	0.020917479	0.252346998	3.839602466
ENSG00000134138	MEIS2	6.03E-50	2.83E-111	3.37E-108	0.12203541	4.492968887	1.399816908
ENSG00000188290	HES4	1.60E-98	8.30E-05	1.90E-95	0.718602225	0.0311936	2.225771511
ENSG00000157514	TSC22D3	1.40E-97	1.43E-79	1.66E-94	0.777785808	1.52129599	6.326091534
ENSG00000135374	ELF5	0.96764573	1.69E-94	2.01E-91	1.568827625	0.007252736	0.01214956
ENSG00000137203	TFAP2A	0.069514921	1.09E-92	1.30E-89	1.446245142	0.013277351	0.015865611
ENSG00000118418	HMGN3	1.46E-92	1.24E-10	1.73E-89	4.28149581	3.323516503	8.822915516
ENSG00000085276	MECOM	0.466727836	3.37E-91	4.02E-88	1.752313652	0.067752339	0.063206538
ENSG00000185551	NR2F2	1.93E-18	8.33E-89	9.91E-86	0.420498908	4.11073251	2.486541549
ENSG00000177606	JUN	2.64E-23	1.75E-88	2.08E-85	13.72299447	6.402989418	5.539788112
ENSG00000125398	SOX9	0.654684418	1.41E-82	1.68E-79	1.374572386	0.020181395	0.047708052
ENSG00000175745	NR2F1	1.07E-27	1.59E-78	1.89E-75	0.399328095	3.999302078	1.85970189
ENSG00000185022	MAFF	1.58E-09	3.29E-78	3.92E-75	2.204335834	0.145274094	0.276834994
ENSG00000102554	KLF5	0.021146816	2.23E-77	2.66E-74	1.352969698	0.005718466	0.044603895
ENSG00000005102	MEOX1	1.11E-76	1.33E-28	1.33E-73	0.122388667	1.864261145	0.062684598
ENSG00000170345	FOS	2.15E-75	1.00E-44	2.56E-72	20.1328401	15.79400826	8.749005946
ENSG00000170689	HOXB9	1.29E-73	2.11E-06	1.53E-70	0.74121061	2.247933028	0.177843206
ENSG00000124766	SOX4	7.88E-68	4.71E-18	9.37E-65	9.147428912	8.544322877	3.867486007
ENSG00000149948	HMGA2	1.13E-64	8.47E-17	1.34E-61	3.183288245	2.842224189	0.585260057
ENSG00000164104	HMGB2	9.77E-64	0.408069707	1.16E-60	3.945042828	5.103148398	2.319391263
ENSG00000135638	EMX1	0.743662952	3.67E-58	4.36E-55	0.863248827	0.004796493	0.00431813
ENSG00000175832	ETV4	3.89E-56	0.025989938	4.63E-53	1.099131019	1.561062792	0.137169748
ENSG00000135111	TBX3	0.048240507	2.20E-54	2.62E-51	1.130688417	0.077245252	0.025320323
ENSG00000137309	HMGA1	1.18E-28	1.85E-53	2.21E-50	7.11739404	3.688467873	2.687092588
ENSG00000120738	EGR1	1.26E-06	1.48E-51	1.76E-48	6.336268605	3.091578964	2.335389196
ENSG00000172818	OVOL1	0.021474318	3.32E-49	3.96E-46	0.875027693	0.00775835	0.040196083
ENSG00000029993	HMGB3	2.42E-46	0.668255609	2.88E-43	2.100724419	3.125919624	1.113334111
ENSG00000221869	CEBPD	2.24E-29	2.55E-45	3.03E-42	1.887247368	0.068223683	0.725697988
ENSG00000125740	FOSB	1.55E-07	8.20E-41	9.76E-38	3.249215884	1.1085272	1.033131282
ENSG00000108511	HOXB6	1.67E-40	0.101106949	1.99E-37	1.802151404	2.467167729	0.58218443
ENSG00000112246	SIM1	0.103626414	9.14E-39	1.09E-35	0.595575002	0.01554694	0.001322923
ENSG00000176887	SOX11	4.73E-38	0.004381222	5.62E-35	0.839268239	1.714485704	0.498680824
ENSG00000198914	POU3F3	0.360637155	3.49E-37	4.15E-34	0.542956611	0.00242914	0.006562919
ENSG00000197857	ZNF44	0.968404098	1.50E-35	1.78E-32	1.313154954	0.230354863	0.216294599
ENSG00000197757	HOXC6	6.16E-31	1.92E-35	2.28E-32	0.043577267	1.454690149	0.232875973
ENSG00000171223	JUNB	0.001080153	4.22E-34	5.02E-31	8.779902688	5.182726808	4.736959985
ENSG00000130338	TULP4	9.97E-34	7.74E-07	1.19E-30	0.418431575	0.384249451	1.367124956
