entrez_gene_symbol	gene_long_name	category_sources	category
IDI2	ISOPENTENYL-DIPHOSPHATE DELTA ISOMERASE 2	GuideToPharmacology	ENZYME
WDR11	WD REPEAT DOMAIN 11	Pharos	TRANSCRIPTION FACTOR
KIF20B	KINESIN FAMILY MEMBER 20B	GO	TUMOR SUPPRESSOR
KIF20B	KINESIN FAMILY MEMBER 20B	Pharos	ENZYME
SDF2	STROMAL CELL DERIVED FACTOR 2	HingoraniCasas	DRUGGABLE GENOME
CDT1	CHROMATIN LICENSING AND DNA REPLICATION FACTOR 1	Pharos	KINASE
KCNK2	POTASSIUM TWO PORE DOMAIN CHANNEL SUBFAMILY K MEMBER 2	GO	CELL SURFACE
KCNK2	POTASSIUM TWO PORE DOMAIN CHANNEL SUBFAMILY K MEMBER 2	HingoraniCasas	DRUGGABLE GENOME
KCNK2	POTASSIUM TWO PORE DOMAIN CHANNEL SUBFAMILY K MEMBER 2	GuideToPharmacology,BaderLabGenes,Pharos	ION CHANNEL
ASIC1	ACID SENSING ION CHANNEL SUBUNIT 1	HingoraniCasas,RussLampel,HopkinsGroom	DRUGGABLE GENOME
ASIC1	ACID SENSING ION CHANNEL SUBUNIT 1	GuideToPharmacology,HopkinsGroom,Pharos	ION CHANNEL
ASIC1	ACID SENSING ION CHANNEL SUBUNIT 1	GO	CELL SURFACE
ASIC1	ACID SENSING ION CHANNEL SUBUNIT 1	Pharos	KINASE
PIK3R3	PHOSPHOINOSITIDE-3-KINASE REGULATORY SUBUNIT 3	Pharos,dGene	KINASE
PIK3R3	PHOSPHOINOSITIDE-3-KINASE REGULATORY SUBUNIT 3	GuideToPharmacology	ENZYME
PIK3R3	PHOSPHOINOSITIDE-3-KINASE REGULATORY SUBUNIT 3	dGene	PHOSPHATIDYLINOSITOL 3 KINASE
PIK3R3	PHOSPHOINOSITIDE-3-KINASE REGULATORY SUBUNIT 3	MskImpact	CLINICALLY ACTIONABLE
OBP2A	ODORANT BINDING PROTEIN 2A	HingoraniCasas	DRUGGABLE GENOME
ADARB2	ADENOSINE DEAMINASE, RNA SPECIFIC B2 (INACTIVE)	Pharos	ENZYME
EFNA2	EPHRIN A2	Pharos	KINASE
DSCAML1	DS CELL ADHESION MOLECULE LIKE 1	GO	CELL SURFACE
RFPL3	RET FINGER PROTEIN LIKE 3	HopkinsGroom	B30_2 SPRY DOMAIN
RFPL3	RET FINGER PROTEIN LIKE 3	HopkinsGroom	DRUGGABLE GENOME
GFRA4	GDNF FAMILY RECEPTOR ALPHA 4	HingoraniCasas	DRUGGABLE GENOME
GFRA4	GDNF FAMILY RECEPTOR ALPHA 4	Pharos	KINASE
GFRA4	GDNF FAMILY RECEPTOR ALPHA 4	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
GUCA2B	GUANYLATE CYCLASE ACTIVATOR 2B	Pharos	ENZYME
GUCA2B	GUANYLATE CYCLASE ACTIVATOR 2B	HingoraniCasas	DRUGGABLE GENOME
SFXN1	SIDEROFLEXIN 1	GuideToPharmacology	TRANSPORTER
H4C2	H4 CLUSTERED HISTONE 2	MskImpact	CLINICALLY ACTIONABLE
H4C2	H4 CLUSTERED HISTONE 2	HingoraniCasas	DRUGGABLE GENOME
MT-ND3	NADH DEHYDROGENASE, SUBUNIT 3 (COMPLEX I)	HumanProteinAtlas,Pharos	ENZYME
LMO2	LIM DOMAIN ONLY 2	FoundationOneGenes,CarisMolecularIntelligence	CLINICALLY ACTIONABLE
LMO2	LIM DOMAIN ONLY 2	GO	TRANSCRIPTION FACTOR COMPLEX
SLC5A1	SOLUTE CARRIER FAMILY 5 MEMBER 1	HingoraniCasas,RussLampel	DRUGGABLE GENOME
SLC5A1	SOLUTE CARRIER FAMILY 5 MEMBER 1	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
SLC5A1	SOLUTE CARRIER FAMILY 5 MEMBER 1	Pharos,GuideToPharmacology,HumanProteinAtlas	TRANSPORTER
DDHD2	DDHD DOMAIN CONTAINING 2	GO	PHOSPHOLIPASE
DDHD2	DDHD DOMAIN CONTAINING 2	Pharos	ENZYME
ORAI2	ORAI CALCIUM RELEASE-ACTIVATED CALCIUM MODULATOR 2	GuideToPharmacology	ION CHANNEL
FZD10	FRIZZLED CLASS RECEPTOR 10	dGene,IDG,GO,GuideToPharmacology	G PROTEIN COUPLED RECEPTOR
FZD10	FRIZZLED CLASS RECEPTOR 10	Pharos	KINASE
FZD10	FRIZZLED CLASS RECEPTOR 10	GO	CELL SURFACE
FZD10	FRIZZLED CLASS RECEPTOR 10	HingoraniCasas	DRUGGABLE GENOME
KCNMB1	POTASSIUM CALCIUM-ACTIVATED CHANNEL SUBFAMILY M REGULATORY BETA SUBUNIT 1	Pharos	ION CHANNEL
RNASE1	RIBONUCLEASE A FAMILY MEMBER 1, PANCREATIC	HingoraniCasas	DRUGGABLE GENOME
PCK2	PHOSPHOENOLPYRUVATE CARBOXYKINASE 2, MITOCHONDRIAL	HumanProteinAtlas,Pharos	ENZYME
SNAP23	SYNAPTOSOME ASSOCIATED PROTEIN 23	HingoraniCasas	DRUGGABLE GENOME
TBRG4	TRANSFORMING GROWTH FACTOR BETA REGULATOR 4	GO	TUMOR SUPPRESSOR
TBRG4	TRANSFORMING GROWTH FACTOR BETA REGULATOR 4	Pharos	KINASE
USP27X	UBIQUITIN SPECIFIC PEPTIDASE 27, X-LINKED	dGene	PROTEASE
USP27X	UBIQUITIN SPECIFIC PEPTIDASE 27, X-LINKED	HumanProteinAtlas	ENZYME
FRK	FYN RELATED SRC FAMILY TYROSINE KINASE	HopkinsGroom,Pharos,dGene	KINASE
FRK	FYN RELATED SRC FAMILY TYROSINE KINASE	HopkinsGroom,HingoraniCasas,RussLampel	DRUGGABLE GENOME
FRK	FYN RELATED SRC FAMILY TYROSINE KINASE	GO,dGene	TYROSINE KINASE
FRK	FYN RELATED SRC FAMILY TYROSINE KINASE	GuideToPharmacology	ENZYME
GNPTG	N-ACETYLGLUCOSAMINE-1-PHOSPHATE TRANSFERASE GAMMA SUBUNIT	HingoraniCasas	DRUGGABLE GENOME
GNPTG	N-ACETYLGLUCOSAMINE-1-PHOSPHATE TRANSFERASE GAMMA SUBUNIT	Pharos	ENZYME
ATP6V1H	ATPASE H+ TRANSPORTING V1 SUBUNIT H	GuideToPharmacology	TRANSPORTER
ATP6V1H	ATPASE H+ TRANSPORTING V1 SUBUNIT H	Pharos	ENZYME
TADA3	TRANSCRIPTIONAL ADAPTOR 3	GO	TUMOR SUPPRESSOR
RAB27A	RAB27A, MEMBER RAS ONCOGENE FAMILY	GuideToPharmacology	ENZYME
PRKAR1B	PROTEIN KINASE CAMP-DEPENDENT TYPE I REGULATORY SUBUNIT BETA	Pharos	KINASE
PRKAR1B	PROTEIN KINASE CAMP-DEPENDENT TYPE I REGULATORY SUBUNIT BETA	GuideToPharmacology	ENZYME
OR2W5P	OLFACTORY RECEPTOR FAMILY 2 SUBFAMILY W MEMBER 5 PSEUDOGENE	GO,dGene,Pharos	G PROTEIN COUPLED RECEPTOR
ABCG4	ATP BINDING CASSETTE SUBFAMILY G MEMBER 4	Pharos,GuideToPharmacology	TRANSPORTER
ABCG4	ATP BINDING CASSETTE SUBFAMILY G MEMBER 4	RussLampel	DRUGGABLE GENOME
USP17L18	UBIQUITIN SPECIFIC PEPTIDASE 17-LIKE FAMILY MEMBER 18	Pharos	ENZYME
NAIP	NLR FAMILY APOPTOSIS INHIBITORY PROTEIN	dGene	PROTEASE INHIBITOR
SSTR3	SOMATOSTATIN RECEPTOR 3	GO,HopkinsGroom,GuideToPharmacology,dGene	G PROTEIN COUPLED RECEPTOR
SSTR3	SOMATOSTATIN RECEPTOR 3	HopkinsGroom,RussLampel,HingoraniCasas	DRUGGABLE GENOME
SSTR3	SOMATOSTATIN RECEPTOR 3	Pharos	KINASE
PATZ1	POZ/BTB AND AT HOOK CONTAINING ZINC FINGER 1	Pharos	TRANSCRIPTION FACTOR
PATZ1	POZ/BTB AND AT HOOK CONTAINING ZINC FINGER 1	CarisMolecularIntelligence	CLINICALLY ACTIONABLE
PIKFYVE	PHOSPHOINOSITIDE KINASE, FYVE-TYPE ZINC FINGER CONTAINING	GO	SERINE THREONINE KINASE
PIKFYVE	PHOSPHOINOSITIDE KINASE, FYVE-TYPE ZINC FINGER CONTAINING	HumanProteinAtlas,Pharos,GuideToPharmacology	ENZYME
PIKFYVE	PHOSPHOINOSITIDE KINASE, FYVE-TYPE ZINC FINGER CONTAINING	Pharos	KINASE
C4BPA	COMPLEMENT COMPONENT 4 BINDING PROTEIN ALPHA	HingoraniCasas	DRUGGABLE GENOME
GRIN2B	GLUTAMATE IONOTROPIC RECEPTOR NMDA TYPE SUBUNIT 2B	GO	CELL SURFACE
GRIN2B	GLUTAMATE IONOTROPIC RECEPTOR NMDA TYPE SUBUNIT 2B	Pharos,GuideToPharmacology	ION CHANNEL
GRIN2B	GLUTAMATE IONOTROPIC RECEPTOR NMDA TYPE SUBUNIT 2B	HingoraniCasas,RussLampel,HopkinsGroom	DRUGGABLE GENOME
ZNF410	ZINC FINGER PROTEIN 410	Pharos	TRANSCRIPTION FACTOR
MYCN	MYCN PROTO-ONCOGENE, BHLH TRANSCRIPTION FACTOR	CarisMolecularIntelligence,Tempus,Oncomine,MskImpact,FoundationOneGenes	CLINICALLY ACTIONABLE
MYCN	MYCN PROTO-ONCOGENE, BHLH TRANSCRIPTION FACTOR	CIViC	DRUG RESISTANCE
BRCA1	BRCA1, DNA REPAIR ASSOCIATED	Oncomine,CarisMolecularIntelligence,MskImpact,CIViC,Tempus,FoundationOneGenes	CLINICALLY ACTIONABLE
BRCA1	BRCA1, DNA REPAIR ASSOCIATED	GO	TUMOR SUPPRESSOR
BRCA1	BRCA1, DNA REPAIR ASSOCIATED	HumanProteinAtlas	ENZYME
BRCA1	BRCA1, DNA REPAIR ASSOCIATED	HingoraniCasas	DRUGGABLE GENOME
BRCA1	BRCA1, DNA REPAIR ASSOCIATED	CIViC	DRUG RESISTANCE
PAFAH1B2	PLATELET ACTIVATING FACTOR ACETYLHYDROLASE 1B CATALYTIC SUBUNIT 2	CarisMolecularIntelligence,FoundationOneGenes	CLINICALLY ACTIONABLE
RNF19B	RING FINGER PROTEIN 19B	Pharos	ENZYME
PRCP	PROLYLCARBOXYPEPTIDASE	GuideToPharmacology,Pharos	ENZYME
PRCP	PROLYLCARBOXYPEPTIDASE	HingoraniCasas	DRUGGABLE GENOME
PRCP	PROLYLCARBOXYPEPTIDASE	dGene	PROTEASE
ZFP36	ZFP36 RING FINGER PROTEIN	Pharos	TRANSCRIPTION FACTOR
MAP4	MICROTUBULE ASSOCIATED PROTEIN 4	Pharos	KINASE
S100A12	S100 CALCIUM BINDING PROTEIN A12	HingoraniCasas	DRUGGABLE GENOME
S100A12	S100 CALCIUM BINDING PROTEIN A12	Pharos	KINASE
KPNA4	KARYOPHERIN SUBUNIT ALPHA 4	Pharos	NUCLEAR HORMONE RECEPTOR
MKLN1	MUSKELIN 1	Pharos	TRANSCRIPTION FACTOR
CD3G	CD3G MOLECULE	HingoraniCasas	DRUGGABLE GENOME
CD3G	CD3G MOLECULE	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
CD3G	CD3G MOLECULE	Pharos	KINASE
KYNU	KYNURENINASE	HumanProteinAtlas,Pharos	ENZYME
KYNU	KYNURENINASE	HingoraniCasas	DRUGGABLE GENOME
VAV3	VAV GUANINE NUCLEOTIDE EXCHANGE FACTOR 3	Pharos	KINASE
CASP8AP2	CASPASE 8 ASSOCIATED PROTEIN 2	Pharos	NUCLEAR HORMONE RECEPTOR
CD37	CD37 MOLECULE	HingoraniCasas	DRUGGABLE GENOME
STK36	SERINE/THREONINE KINASE 36	HingoraniCasas,HopkinsGroom,RussLampel	DRUGGABLE GENOME
STK36	SERINE/THREONINE KINASE 36	HopkinsGroom,Pharos,dGene,IDG	KINASE
STK36	SERINE/THREONINE KINASE 36	Pharos,GuideToPharmacology	ENZYME
STK36	SERINE/THREONINE KINASE 36	Pharos	TRANSCRIPTION FACTOR
STK36	SERINE/THREONINE KINASE 36	dGene,GO	SERINE THREONINE KINASE
AKAP17A	A-KINASE ANCHORING PROTEIN 17A	Pharos	KINASE
KLHL23	KELCH LIKE FAMILY MEMBER 23	HingoraniCasas	DRUGGABLE GENOME
FBLN1	FIBULIN 1	HingoraniCasas	DRUGGABLE GENOME
VWA5A	VON WILLEBRAND FACTOR A DOMAIN CONTAINING 5A	RussLampel	DRUGGABLE GENOME
GPR151	G PROTEIN-COUPLED RECEPTOR 151	GuideToPharmacology,GO,HopkinsGroom,Pharos,dGene,IDG	G PROTEIN COUPLED RECEPTOR
GPR151	G PROTEIN-COUPLED RECEPTOR 151	HingoraniCasas,RussLampel,HopkinsGroom	DRUGGABLE GENOME
MED18	MEDIATOR COMPLEX SUBUNIT 18	Pharos	TRANSCRIPTION FACTOR
ICAM4	INTERCELLULAR ADHESION MOLECULE 4 (LANDSTEINER-WIENER BLOOD GROUP)	HingoraniCasas	DRUGGABLE GENOME
BRD2	BROMODOMAIN CONTAINING 2	GO,dGene	SERINE THREONINE KINASE
BRD2	BROMODOMAIN CONTAINING 2	dGene	KINASE
BRD2	BROMODOMAIN CONTAINING 2	HingoraniCasas	DRUGGABLE GENOME
BRD2	BROMODOMAIN CONTAINING 2	GuideToPharmacology	ENZYME
ALPK1	ALPHA KINASE 1	Pharos,dGene	KINASE
ALPK1	ALPHA KINASE 1	GO,dGene	SERINE THREONINE KINASE
ALPK1	ALPHA KINASE 1	GuideToPharmacology	ENZYME
CLDN16	CLAUDIN 16	HumanProteinAtlas	TRANSPORTER
SLC12A7	SOLUTE CARRIER FAMILY 12 MEMBER 7	RussLampel,HingoraniCasas,HopkinsGroom	DRUGGABLE GENOME
SLC12A7	SOLUTE CARRIER FAMILY 12 MEMBER 7	GuideToPharmacology	TRANSPORTER
SLC12A7	SOLUTE CARRIER FAMILY 12 MEMBER 7	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
SIK1	SALT INDUCIBLE KINASE 1	HopkinsGroom,dGene,Pharos	KINASE
SIK1	SALT INDUCIBLE KINASE 1	HopkinsGroom,RussLampel,HingoraniCasas	DRUGGABLE GENOME
SIK1	SALT INDUCIBLE KINASE 1	HumanProteinAtlas,GuideToPharmacology	ENZYME
SIK1	SALT INDUCIBLE KINASE 1	GO,dGene	SERINE THREONINE KINASE
ITPR1	INOSITOL 1,4,5-TRISPHOSPHATE RECEPTOR TYPE 1	Pharos,GuideToPharmacology,HopkinsGroom,BaderLabGenes	ION CHANNEL
ITPR1	INOSITOL 1,4,5-TRISPHOSPHATE RECEPTOR TYPE 1	Pharos	KINASE
ITPR1	INOSITOL 1,4,5-TRISPHOSPHATE RECEPTOR TYPE 1	HopkinsGroom,HingoraniCasas,RussLampel	DRUGGABLE GENOME
ITPR1	INOSITOL 1,4,5-TRISPHOSPHATE RECEPTOR TYPE 1	HumanProteinAtlas	TRANSPORTER
CCL3L3	C-C MOTIF CHEMOKINE LIGAND 3 LIKE 3	HingoraniCasas	DRUGGABLE GENOME
FFAR1	FREE FATTY ACID RECEPTOR 1	HopkinsGroom,HingoraniCasas,RussLampel	DRUGGABLE GENOME
FFAR1	FREE FATTY ACID RECEPTOR 1	HopkinsGroom,GO,dGene,Pharos,GuideToPharmacology	G PROTEIN COUPLED RECEPTOR
ABCA5	ATP BINDING CASSETTE SUBFAMILY A MEMBER 5	GuideToPharmacology,Pharos	TRANSPORTER
ABCA5	ATP BINDING CASSETTE SUBFAMILY A MEMBER 5	GO	ABC TRANSPORTER
ABCA5	ATP BINDING CASSETTE SUBFAMILY A MEMBER 5	RussLampel	DRUGGABLE GENOME
TRIM24	TRIPARTITE MOTIF CONTAINING 24	HumanProteinAtlas,GuideToPharmacology	ENZYME
TRIM24	TRIPARTITE MOTIF CONTAINING 24	Pharos	NUCLEAR HORMONE RECEPTOR
TRIM24	TRIPARTITE MOTIF CONTAINING 24	FoundationOneGenes	CLINICALLY ACTIONABLE
E2F1	E2F TRANSCRIPTION FACTOR 1	Pharos	TRANSCRIPTION FACTOR
CX3CL1	C-X3-C MOTIF CHEMOKINE LIGAND 1	GO	CELL SURFACE
CX3CL1	C-X3-C MOTIF CHEMOKINE LIGAND 1	HingoraniCasas	DRUGGABLE GENOME
IGFBP4	INSULIN LIKE GROWTH FACTOR BINDING PROTEIN 4	HingoraniCasas	DRUGGABLE GENOME
PDGFD	PLATELET DERIVED GROWTH FACTOR D	GO	GROWTH FACTOR
PDGFD	PLATELET DERIVED GROWTH FACTOR D	HingoraniCasas	DRUGGABLE GENOME
NYAP2	NEURONAL TYROSINE-PHOSPHORYLATED PHOSPHOINOSITIDE-3-KINASE ADAPTOR 2	Pharos	KINASE
KLHL10	KELCH LIKE FAMILY MEMBER 10	HingoraniCasas	DRUGGABLE GENOME
NGF	NERVE GROWTH FACTOR	HingoraniCasas	DRUGGABLE GENOME
NGF	NERVE GROWTH FACTOR	GO	GROWTH FACTOR
NGF	NERVE GROWTH FACTOR	Pharos	KINASE
NOG	NOGGIN	HingoraniCasas	DRUGGABLE GENOME
AKR1A1	ALDO-KETO REDUCTASE FAMILY 1 MEMBER A1	Pharos	ENZYME
AKR1A1	ALDO-KETO REDUCTASE FAMILY 1 MEMBER A1	HopkinsGroom,HingoraniCasas,RussLampel	DRUGGABLE GENOME
POU6F1	POU CLASS 6 HOMEOBOX 1	Pharos	TRANSCRIPTION FACTOR
MTNR1A	MELATONIN RECEPTOR 1A	HingoraniCasas,RussLampel,HopkinsGroom	DRUGGABLE GENOME
MTNR1A	MELATONIN RECEPTOR 1A	dGene,HopkinsGroom,GuideToPharmacology,GO	G PROTEIN COUPLED RECEPTOR
ARTN	ARTEMIN	GO	GROWTH FACTOR
ARTN	ARTEMIN	Pharos	TRANSCRIPTION FACTOR
ARTN	ARTEMIN	HingoraniCasas	DRUGGABLE GENOME
HNRNPUL1	HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN U LIKE 1	HopkinsGroom	B30_2 SPRY DOMAIN
HNRNPUL1	HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN U LIKE 1	HopkinsGroom	DRUGGABLE GENOME
OR5K4	OLFACTORY RECEPTOR FAMILY 5 SUBFAMILY K MEMBER 4	HopkinsGroom,GO,dGene,Pharos	G PROTEIN COUPLED RECEPTOR
OR5K4	OLFACTORY RECEPTOR FAMILY 5 SUBFAMILY K MEMBER 4	HopkinsGroom,RussLampel	DRUGGABLE GENOME
C5	COMPLEMENT C5	dGene	PROTEASE INHIBITOR
C5	COMPLEMENT C5	HingoraniCasas	DRUGGABLE GENOME
C5	COMPLEMENT C5	Pharos	ENZYME
MYH6	MYOSIN HEAVY CHAIN 6	HingoraniCasas	DRUGGABLE GENOME
EHMT1	EUCHROMATIC HISTONE LYSINE METHYLTRANSFERASE 1	HumanProteinAtlas,GuideToPharmacology	ENZYME
EHMT1	EUCHROMATIC HISTONE LYSINE METHYLTRANSFERASE 1	HingoraniCasas	DRUGGABLE GENOME
