Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	WT176	WT188	WT190	WT196	WT192	WT178	WT68	WT34	WT48	WT14	WT22	WT30	WT32	WT36	WT12	WT26	WT9	WT20	WT8	WT24	WT16	WT4	WT28	WT38	WT42	WT44	WT40	WT112	WT120	WT152	WT158	WT160	WT182	WT184	WT186	WT200	
Amplification Peak  1	1q21.1  	chr1:145303907-145510375(probes 11509:11519)  	chr1:145310284-145507825(probes 11510:11518)  	chr1:145310284-145527040(probes 11510:11521)  	0.028639	   0.035742		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	2	0	0	0	0	1	0	0	0	0	2	0	2	0	
Amplification Peak  2	1q23.1  	chr1:158290463-159184790(probes 12731:12771)  	chr1:158300307-159175003(probes 12732:12770)  	chr1:158300307-159204363(probes 12732:12773)  	0.069508	    0.16166		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	2	1	0	0	0	0	1	0	0	0	0	2	0	2	0	
Amplification Peak  3	1q31.3  	chr1:184778295-200017960(probes 15128:15821)  	chr1:196884291-197297539(probes 15664:15678)  	chr1:184020946-200172858(probes 15050:15833)  	0.0026878	  0.0032901		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	1	0	0	2	0	2	0	2	0	
Amplification Peak  4	1q42.12 	chr1:225117281-225694115(probes 18140:18181)  	chr1:225117562-225685620(probes 18141:18180)  	chr1:225117562-226016632(probes 18141:18183)  	0.14417	    0.20895		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	1	0	0	0	0	2	0	2	0	
Amplification Peak  5	1q44    	chr1:248085012-249250621(probes 20339:20405)  	chr1:248637066-249250621(probes 20387:20405)  	chr1:248084580-249250621(probes 20336:20405)  	0.0094161	   0.016304		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	
Amplification Peak  6	2p11.1  	chr2:92213343-92315348(probes 28520:28545)      	chr2:92222631-92315346(probes 28521:28544)      	chr2:92222631-96791669(probes 28521:28622)      	4.0474e-07	  7.681e-06		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	
Amplification Peak  7	2q11.1  	chr2:96455780-96697055(probes 28598:28620)      	chr2:96465552-96604729(probes 28599:28611)      	chr2:92222631-96791669(probes 28521:28622)      	0.0031372	    0.09278		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	
Amplification Peak  8	3p11.1  	chr3:1-198022430(probes 41749:59664)             	chr3:75718634-97673267(probes 48767:50547)      	chr3:75718634-97701842(probes 48767:50550)      	0.20895	    0.20895		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	
Amplification Peak  9	4p11    	chr4:48886398-49165646(probes 64354:64364)      	chr4:48894982-49165422(probes 64355:64363)      	chr4:48894982-49211431(probes 64355:64366)      	4.0474e-07	 4.0474e-07		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	
Amplification Peak 10	6p12.1  	chr6:54480179-55630192(probes 97424:97442)      	chr6:54490042-55620250(probes 97425:97441)      	chr6:54079969-56505790(probes 97384:97504)      	0.0026878	  0.0026878		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	2	0	2	2	
Amplification Peak 11	6q16.3  	chr6:100901111-105309884(probes 100701:100767)	chr6:100911073-102133992(probes 100702:100728)	chr6:100911073-105329514(probes 100702:100769)	0.013129	   0.013129		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	2	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	
